column0,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20
Why I didn't blog about Zam's tweets on the JB cycling tragedy,20170220,7 comments,{Anonymous} Perhaps u shudve written about it in 2006 #theeminentjournalistaward ?,{Anonymous} Rock..You should refrained yourself even now..for blogging,"{Mat Cendana} I had suspected it's a spoof account. Of someone wanting to bring the real Zam to disrepute. ""Surely Zam wouldn't be so petty and downright idiotic""...It's sad he has denigrated himself to this level.","{xnakdedak} ""...that he was merely stating the facts, ands that government cybertroopres were desperate.""Well, the government ""cybertroopres"" seem to ignore the multiple hippos in the room, such as 1MDB, SRC, TH, FELDA and all those other little things that most certainly ARE the direct result of the Bugis clown's ""leadership"".History will name him Bapak Klepet Negara, a bumbling thief who did no good to anyone.And his defenders and the ""cybertroopres""?Nah, those failed hacks are forgotten already. ","{xnakdedak}  ""Well, to put it simply, and speaking as journalist, I was ashamed.""Ahhhh shame is a strange emotion Latuk.See?http://s147.photobucket.com/user/malaysianunplug/media/rockybigdogmahathir.jpg.htmlNo shame about standing next to the guy who got 2.6 billion in his personal account thanks to the Forex losses wayyyyy back in the 90s.Hey wait a minute...","{Hantu Gigi Jarang} He was just stating the current factual incidents. Comparing it to incidents during Tun's era is ""sour grape Rocky...just like the forex issue. Let's move on Rocky not move backward! Address the current issues.. 1MDB, the Communist China influences in Malaysia etc...","{Anonymous} Guess the moment Perkasa award anyone as tokoh, some will go downhill. He was perkasa's anugerah tokoh for kewartawanan for 2016. First tokoh was Maathir, look what happen to him. ",,,,,,,,,,,
"Anifah speaks out after Azmin's ""quit"" rumours",20170215,7 comments,"{RD.} Salam Dato Rocky.Please note that I've always Salam to you although I know you're not going to Salam be back by publishing my comment. But... still I respect you for not blocking me like Bigdog have done. Anyway, I'm amazed that you and almost all Najib's sympathizers are too scared to mention 1MDB and Jho Low's name. Even the opposition is gagged, in Parliament... that is.""... with the way some 'jokers' in his own party are using a certain thorny international crisis to revive their political fortunes.""'a certain thorny international crisis'.... ehmm... well, at least you acknowledge that Najib's 1MDB with dubious Jho Low... is an 'international crisis' of which Malaysia is famous, the world-over for a shameful reason... i.e... klepetocracy.Thank You Dato.","{Anonymous} The 2M administration has long ended. It is time the 2M jokers stop their nonsense. No only, M is for Mamak. M could include monyet. Or M for masuk penjara. Generally, M for all the mangkok hayun among politicians, civil servants, businessmen and corporate men.2M should be ""to"" Make Malaysia be great!","{Rockybru} Dear RD,The ""certain thorny international issue"" refers to Rohingya, actually. Not 1MDB. Anifah Aman has been working on a consultative approach in handling the Rohingya issue. Understandably, he doesn't appreciate any action that could derail that effort. Especially if that action is initiated by people from his own party and government.The question of me being ""too scared to mention 1MDB and Jho Low"" does not arise at all, RD. I also don't think the Opposition is being ""gagged"" in Parliament. I think they realise it's a dead end. Authorities from Singapore to the US are said to be investigating 1MDB. If there's any wrongdoing on anybody's part, it has been dealt, is being dealt and will be dealt with by authorities in those countries. As for publishing comments, no issue at all. Since I started blogging, i have published some 137,000 comments from dear Readers like you.  Sometimes, 9 out of 10 commenters do not agree with my views. But they still enrich this blog and me.Salams","{xnakdedak} ""But Najib needs to make sure that this man stays by his side on this final straight. Jesters are a dime and a dozen as the general election draws closer; what the Prime Minister needs are people who take their work seriously and who put the people and the nation above their own politics and survival.""Latuk,Can you see the ""YUUUUUGE"" irony that the most debased display of ""their own politics and survival"" is the Bugis lanun himself?",{RD.} Oh... I'sorry for misunderstanding your posting.And... Thank You for the reply.Salam Dato'.,{Sedago Mimpi} Dear Rocky...Did the tweet mentioned Anifah's name?,"{JASA} Bro rocky boleh pretend xtahu apa.Tp zahid hamidi bergegas ke sabah.Musa aman bakal diganti. Anifah menunjukkan solidariti.Tidakkan aneh azmin tidak menyatakan nama sesiapa tp zahid dgn yakin menyatakan bukan anifah aman.Kalau bro rocky masih ingt zahid inilah juga yg mengaku bertemu dgn penderma penderma, bukan penderma sahaja.Tp tidak lama kemudian apandi pula berkata hanya penderma sahaja dan sudah pun meninggal dunia.Semoga ingatan rocky masih kuat",,,,,,,,,,,
Views on the Malaysian economy: the kind of U-turn we'd like to see,20170213,2 comments,"{Mat Cendana} Look back at previous years' predictions and one will see that, in each and every year, there had been anal-ysts insisting Malaysia was going to face financial troubles. As in going down the drain. And they had colourful pie charts and tables to prove it.Sure, things had not been smooth. Especially at the height of 1MDB-related issues, the price of crude oil collapsing and the ringgit depreciating. But things look to have improved since then. Dollar's strength is still a concern to some, especially to companies with dollar-denominated debts. But we had gone through worse. And survived. We will, again.","{IT.Scheiss} I attended a talk by my remisier yesterday - a solidly pro-opposition man in a DAP stronghold - and he told us that the uncertain times of 2016 are over for Bursa Malaysia and the KL Composite Index, and that with the strong likelihood that the U.S. economy will recover and do well this year, that with GE 14 coming, the government will likely spend more on infrastructure development, such as the MRT, with gradually rising crude oil prices, growing demand for palm oil (especially for biodiesel) it is likely that the shares of export-oriented companies, the construction industry and the oil & gas industry including O&G service industries will likely pick up, so watch the movement of share prices in these industries.Whatever tariff measures the Trump administration may implement, however Malaysia's oil palm industry will not be affected especially where exports are to China and other countries besides the U.S.He also told us that shares of FGV are likely to recover and when they have recovered sufficiently, that is when Najib could call the elections.I also believe that with investments from China, including the building of the East Coast rail link, Malaysian industries and workers are bound to benefit from the collateral benefits.So unless World War III breaks out or something like that, the future looks promising for stock market investors and traders at least in 2017 and 2018.",,,,,,,,,,,,,,,,
"Azeez, flotilla and Tabung Haji ...",20170210,3 comments,"{RD.} Errgh.... Dato' Rocky.7 years ago. 1MDB-Jho Low's Billion of debt (some went missing) haven't hit the fan. Hence that... ""prompting Prime Minister Najib Razak to thrown diplomatic caution to the wind and slam Israel as ""world gangster"".Today... he is quiet like a mouse. Not even a word or twit about Trump's executive orders to ban visitors from 7 Muslim majority countries. Iraq & Libya are the countries the US ruined. Yet, turn a blind eye towards Saudi Arabia whose citizens made-up most of Sept-11 perpetrators.",{RD.} Oh... You're seems to have more balls that Bigdog. I've stop reading what he wrote since I'm no longer welcome there.,"{xnakdedak} ""Is Azeez returning to his dangerous missions again?""What, like using TH funds to buy 1MDB land, hurriedly denying it, then after suffering from serious ""kantoi"", finally coming clean, after which the Bugis crook told him to sell the land (it remains unsold?)Sounds like a sitcom pilot.",,,,,,,,,,,,,,,
Watch Kit Siang's Trump-wannabe moment,20170208,4 comments,"{xnakdedak} ""But body language speaks clearly. Not just Kit Siang's but also Dr Mahathir's. Look at just how uneasy the Old Man is. Lots of squirming and red faces back there, too. What an ordeal it must have been""...Oh, hardly.Try all the HONEST journos and publications who've been locked up and shut down just for telling the truth about your master.Try not to come off as a smug sell-out hack, hensum.Not cool, kan : )","{Anonymous} Latuk Locky, you don wan to oso show how last time Zahid Hamili chided MalaysiaKini reporter ka ? Lu mau cakap itu uncle lim talak baguik ka ? Lu apa punya latuk ?","{Hantu Gigi Jarang} Yes, RCI for both BMF and 1MDB/SRC. Will support Najib if USD2.6 is proven a ""donation"" and not in any way related to 1MDB.","{Rabbit} Dedak,All those journos locked up and shut down during u-Turn rule. Not this time. By the way, the old man's body language did spoke loude than words. There is no need for google translate.",,,,,,,,,,,,,,
"The frog turns into a prince, yet again",20170207,8 comments,"{xnakdedak} ""Few things politics are worth blogging about these days""You're soooooo right Latuk.Although I, personally, am just a lazy bastard.Hee hee.","{xnakdedak} ""It merely reaffirms my belief that Malaysian politicians have actually proved, beyond reasonable doubts, that there are no permanent friends nor foes when it comes to their profession. Lim Kit Siang and Dr Mahathir Mohamad at the same press conference - one to receive Zaid as DAP member and the other to  congratulate him for the ""weird decision"" - you can't do better than that!""Errrrr........http://s147.photobucket.com/user/malaysianunplug/media/rockybigdogmahathir.jpg.htmlStones, glass houses, you know the drill.A bit amphibious, are we Latuk?Well, until your next post in 3 weeks time.....",{Anonymous} What do you call paid UMNO  bloggers who has delusion of grandeurs? Umno toadies!!,{Anonymous} Mark my word. He will leave within a year. ,"{RD.} Salam Dato Rocky.Aiit... dah hilang posting 'Kit Siang wanabe Trump'.Tu la Dato... bukan senang nak defend the indefensible.So... Dato sokong ditubuhkan RCI untuk korek Scandal BMF & kerugian Forex?Dato kena ingat, tiada laporan yang di OSA ketika scandal BMF & Forex.Tiada WANG Rakyat, masuk akaun sesiapa.Semuanya... dibincang dalam kabinet dimana Najib adalah sebahagian darinya.Cuba bandingkan dengan 1MDB-Jho Low.Mungkin selepas diadakan RCI nanti... baru Rakyat, terutamanya anak-anak muda, tahu bahawa BBMB - Bank Bumiputra Malaysia Berhad (induk BMF - Bumiputra Malaysia Finance) telah bertukar menjadi CIMB. Maklumlah... bukan-Melayu allergic pada perkataan Bumiputra. Adik Najib amat sedar hakikat ini.","{Saudagar Mimpi} Beats me on why you organized Soladarity Ride around the Asean country (Astro 737) and yet on your very own shore, you're playing with race sentiments. Are you a hypocrite?","{Rockybru} Hope you enjoyed the motorcycle program, Saudagar Mimpi. But I don't see how this posting on Zaid Ibrahim joining DAP is me ""playing with race sentiments"". Dear RD,I checked again: the said posting [Kit Siang wannabe Trump] is still there. ;-)http://www.rockybru.com.my/2017/02/watch-kit-siangs-trump-wannabe-moment.htmlAs for RCI on forex and BMF, it's pure politics lah. Tun M taught Najib and the younger Malaysian politicians very well so he can't blame them for doing this on him. Mahathir would have done this to his political enemies - no, he'd do worse to them - earlier!But if the RCI happens, rakyat tak rugi. At least we'll get to know what really happened back then!",{Izzat Rahman} Agreed with u Bro Rocky,,,,,,,,,,
The Forest for the trees,20170120,15 comments,"{Labu8455} Datok, why now days most of your article got ""dedak"" smells ?","{RD.} Dear Dato Rocky.From CheDet.""16. Let all transactions be transparent. Publish all documents about the investments, the number of workers, their home countries, the buyers, the banks which finance and all expatriation of funds. Do this honestly. No hiding. Please don’t ask a certain Tunku Aziz to verify. He may have been the Malaysian Head of Transparency International, but he approves completely the stealing and the corruption of 1MDB.""So... is the gomen under Najib going to publish those 'fact & figures'.I bought my home, leased for a hundred years in Selangor. Therefore... I would like to know whether the gomen sold land to Mainland Chinese... on lease or freehold.","{Anonymous} bro,i have to agree with you this time around../mkh",{Kenasaman5jutaolehtoni} Dah habis material ke sampai kena quote anotherbrickinthewall with his lopsided grammar?at least kali ni ada editor lol,"{xnakdedak} Salah uddin Hisham.Wow, that's journalism!Yeah, when pigs fly.On AirAsia.Do thay?","{mahiadin} kalau diikut hati kutty, di langkawi ada mahasiti bukannya maha city","{xnakdedak} Hey, wake up Latuk!Time to do a quick cut & paste on that good 'ol 1990s kes basi forex that proves Dr M is as BIG a crook as Mr 2.6 billion.It's just BRILLIANT!After that, you can go straight back into hibernation.Life is good!","{Anonymous} When the Pinoy flooded Sabah with the Project IC, the Old Man kept quiet pulak...if it doesn't work to his benefit esp in Boboi's case I guess he will criticise it till he dies. ","{xnakdedak} LatukCepat sikit lah Latuk.Spending your gains in Monte Carlo ke?(Don't be like Kak Lina ya : )Come on bro...cut and paste on petrol, at least?Article on Annuar Musa proving that Umno is squeaky clean despite being ""led"" by the biggest thief in human history?""Endless Possibilities"", bro....","{Anonymous} EXPOSE THE CONSPIRACY! GOD AND THE DEVIL ARE BACKWARDS!! DON'T LET GUILT-FEELINGS, FEAR AND OTHER KINDS OF EMOTIONAL MANIPULATION RULE YOUR CHOICES IN LIFE!!http://joyofsatan.org/http://exposingchristianity.org/https://exposingthelieofislam.wordpress.com/http://www.666blacksun.net/","{Naj} Bringing in foreign labor and letting foreigners buy land are two very different things. If you enter a country as a foreign labor, your mindset is that as a worker you'll have to listen to your boss. This will force you to blend in and assimilate and hence be a part of your adopted country. This happened to the Kerala descendant; he assimilated, helped out and pen his thoughts on the rights of the people in his younger days (and even now, in his blog), even gave the country a purpose and vision (Malaysia Boleh!). This also happened to the foreign labor we have today; within a few months upon arriving the Bangladeshi workers speak better Bahasa Malaysia than the Bangsar Malaysians (r intended).When you buy something, you expect to be able to tell the seller to do things for you because a customer is always right; the buyer is the master. Put this into the ""foreigner buys Malaysian land"" equation and you will eventually ask; might the bigger picture really be neocolonialism riding on globalization?Imagine you have a foreign worker who helps you with your restaurant business. One day your restaurant is visited by a wealthy man who comes from the same country as your worker. You might even close one eye if the wealthy man smokes in your non-smoking restaurant, but imagine the hell you'll raise if your worker smokes in your smoking-allowed restaurant.Naj",{glassman} thought this was like my fallen forest album on facebook.. LOL,"{xnakdedak} PRIMA, another failed MO1 scam......""The Penang government's policies had allowed 20,887 affordable housing units to be built since 2008 with another 65,796 units to be built over the next 10 to 15 years.State exco member in charge of housing Jagdeep Singh Deo said that in contrast, not a single affordable home under Putrajaya's PR1MA and PPA1M housing scheme has been built in the state.""PS: Has your dedak supply been pulled or what?Or still in Monte Carlo?",{Ameli} City of the future is a very interesting topic. And your view is very cool. Thanks for sharing with us such a detailed description. Please keep it good posting. You may use http://www.custom-paper-writing.org help for all new posts and be sure in their brilliant quality 24/7! ,{pendekartua} The Johor state government should be transparent by releasing and declassifying  all documents on the alleged involvement of the royalty in the Forest City issue.,,,
Probably the last man Dr M would want to mess with,20170116,14 comments,"{xnakdedak} Ah Latuk, Latuk.""Using a battery incident involving a member of the Johor Royaly as an excuse""Really?I personally think people should not be immune if they whack people with hockey sticks.What do you think?You'll think anything as long as you get dedaked, no?Ah Latuk, Latuk.So sad.",{Poignant} You mean a billionaire cum sultan who had sold half of his state capital to foreigners wants to bash tun m too? Sitting on a filthy high horse must be really cozy.,"{Anonymous} lama tak menulis, cerita seberang tambak tak berminat ke? dulu kata swift code salah!!!http://www.straitstimes.com/tags/1mdbhttp://www.rockybru.com.my/2015/07/just-three-questions-for-wsj-hafarizam.html",{Labu8455} We just cant comment because he is a Sultan and the this country law did not allow us to so. There are plenty of things can be said yet you cant. People including you Mr Rocky (or more like Mr Woody) also taking Tun statement out on context. Kenyataan itu pahit untuk ditelan walaupun terserlah dengan kebenarannya.,"{Fenjn} Senang aje: sapa makan cili dia rasa pedas tal gitu din? Bnyk2 orang, yg terasa mereka down south. Apa cer?",{IT.Scheiss} Good that Tuanku tarok Mahathir kau kau.,"{xnakdedak} Even the Yahudi PM cries about being ""toppled""......""TEL AVIV, Jan 17 — Israeli Prime Minister Benjamin Netanyahu, who has been questioned by police in a corruption probe, yesterday denounced an “unprecedented” media campaign to bring down his government.Police have questioned Netanyahu in a probe into whether he unlawfully received gifts from wealthy supporters.They are also looking into a recording of a conversation he had with the owner of top-selling Yedioth Aharonot newspaper about getting favourable coverage.""Wow, what a bunch of sell-outs the Yahudi journos are!He should hire a top-notch investigative journalist like you, Latuk.Look how you've single-handedly saved the global rep of the pink Bugis jelly.A job well done.",{Anonymous} hahahaha...still high on drugs?,{Anonymous} bro.do read the star online today.hahahahaha..,"{Anonymous} Datuk, I will always pray for your happiness if if you are no longer gomen's blogger",{Anonymous} to look east but not to give malaysia to the eastits 2 diff things,"{Asaif Barkiya} The slew old man,will bring his wrath even six feet under despite the fact that the entire society are against him.This super ego old man,with acute prejudice syndrome not worth a penny be given even a sentence of coverage and every bit of his breath intoxicated the surround,deplete highly oxygenated Malaysian airspace.Extremely corrosive.",{Anonymous} have a good read just in case you have forgotten after too much dedakss.http://www.rockybru.com.my/2014/06/selling-johor-off-to-foreigners.html,{mahiadin} keling masuk umno terus jadi hero melayu,,,,
Dr Mahathir's 17th U-turn,20170111,13 comments,{Anonymous} apakah kebodohan ini? menjadi kuasa ekonomi dunia dan menjalin hubungan yang merugikan negara adalah dua perkara yang berbeza wahai dato... keep on mengelirukan umat Malaysia. Semoga segalanya semakin terang. ,"{Mat Cendana} If people say that ""too many"" projects in Malaysia are by the Chinese, then how many would be ""just right""? Among the realities that we are living with in the world right now is that China has the resources, as well as it being a major buyer of resources that it requires. We as the small fry must accept the realities and adapt accordingly to ensure that we too will benefit from situations. Or we can choose to be hostile and make things difficult for China's investors. There will be less of their companies coming in as a result. But will that be beneficial to us all?The fact that these China companies are willing to risk their capital, time and energy in Malaysia says something about their confidence in the country and its potentials. Sure, it may be better if the investments are more balanced. I'm very sure Najib would also be welcoming of companies from the US, Europe, Japan and Middle East coming in with big projects. In fact, I believe he will also welcome the Taliban should it want to come in with capital to develop some new port and township in Malaysia.Right now it's the Chinese who are willing to invest in a big way. Would be great if US and European companies were to come in too and counter-balance the Chinese. But they have their own problems, priorities and plans. They might do so in future but for now it's better that we try to make the best of what is on the table.Rather than scaremongering about China buying over Malaysia, the more productive thing to do is to monitor these companies. Among other things, to ensure that the benefits reach as many Malaysians as possible. And not just the few with access to the government and investors.",{Anonymous} Kumpul lah dedak haram kamu tu din.....jatuh bn nanti dah tak boleh gi shopping,"{RD.} Dear Dato.Whether its globalization, sentiments, national pride or not... just wait when those Mainland Chinese started to swamp our shopping-malls... e.g. in Johor Bahru... strolling with their pet-dog in trolleys.Me... I've not problem at all. I could even have my own lunch, sitting at the same table with a friend who is having grilled-pork.","{Anonymous} China barang n teknologi.Recently, I went to hardware shop to buy a wheel barrow. I was presented with 2 options:Yellow colour which is local made or Green colour which is made in China.Of course, the yellow colour one is more expensive.The China made has many problems.Among them is the wheel is easily damaged and can only be replaced with the original one from China due to size of the wheel.The metal sheet is also thinner as well as the overall size.The hardware owner did not recommend buying the green colour one and instead offered higher rebate for the local one.It is understood that most products made in China do not conform to major international standards, thus making alternative replacement of spare parts almost impossible.Now, we are going to buy trains system from China. The system consists of the coach, track, bogey, mechanical n electrical system, IT or computer system, washing system n etc.Have the government and the experts fully studied other than the construction aspects,the long term requirements of the new train system? ","{Anonymous} If BN jatuh, hope power not still with Maddie. We can call for a special commission to investigate and put him and his family to trial.Suggest Maddie balik Kerala or Malbari or Pakistan, whereby his root was.","{Anonymous} Ooiiii Mat Cendana..... Biar China berleluasa melapah tanah dan harta rakyat. Bila dah tinggal tulang, kudis pun tak nk bertapak. Fikir lah sikit, guna otak bukan jadi keparat yg tak fikir keturunan kita di masa depan. Negara kita, hak anak cucu kita. Bukan hak penyamun dan kumpulan 40 pencuri.  ",{Husin Lempoyang} U turn lagi tok. Baca http://the-antics-of-husin-lempoyang.blogspot.my/2017/01/fatwa-mufti-boleh-flip-flop.html,{Anonymous} tak habis dgn dedak korang tuh..jatuh bn jatuh juga org melayu..melayu mmg seronok jadi loosers...dah jadi satu hobi pulak fitnah mengfitnah kpd bangsa sendiri. ,"{Rosmah Badak} MATI accident motor nanti mamat Ni, byk mkn DEDAK Najib sgt","{mahiaddin} untuk pengikut mahathir sekalian, selamat mengundi lim kit siang.","{Anonymous} Hello China is not exactly ""investing"", we are borrowing from them which has to be paid sooner or later",{faizalj} U are accountable to your own action rockybru. Don't regret later.,,,,,
"Small fries, big sharks: Zahid defends the MACC",20170110,3 comments,{xnakdedak} Your big pink-lipped hippo shark/whale blom kena pon?Laughable.,"{Anonymous} first of all who are you kidding ? we are all malaysian, we know.nobody believe those who are captured are the top of the pyramid.we all know their big bosses are still roaming around freely and proudly saying stuff as if they didnt belong in the same group.in the end the so called jerung isnt even at the top of the food chain. hence i conclude. until the top crooks are caught, sprm are just wasting people money and time. u captured the goons, the bosses are just gonna replace them with someone else. corruption will never be eradicated at all.sprm will always have to do the same thing over and over again.you do not eliminate the root of the problem, u r not gonna solve the problem at all.its gonna be the cycle over and over and over again = waste tax money & time.hell, why bother, just disband the sprm. u r writing this to convince who, exactly ?",{Rosmah Badak} Mr president of Malaysia tak kena la zahid? You laa kat In malaysia ada Mr president. You Sudah gila la zahid? Mau bikin Komedi la bro?,,,,,,,,,,,,,,,
If Dr Mahathir wins ...,20170109,8 comments,{Setan merah} Wait a minute...Your gang created this lie and you people believe it? You believe your own lies?Kah kah kah,{Anonymous} Even If there's a pig I'll support..As long as ABUP,"{xnakdedak} Shit.No $7 billion stealing top man?No thug of a DPM?No mat maslan, no lina lgbt, no ismail kotak ikan, no salak kok etc etc?Awwwww.Just not the same.","{Mat Cendana} Some of them look to be better than a few ministers that we have at the moment. Now that Najib is in a more solid position as compared to a year or so ago, he is now able to put in better people. I believe he will, in due time. One thing about Najib is that he isn't hurried. Which is a good and bad thing depending on the situations.Anyway back to this list of shadow ministers - for one thing, they will have to actually win a seat in parliament first. It's true that many of them are already MPs. But there's no guarantee they will retain their seats. Especially those in PKR and PAN. They had depended on the goodwill of PAS supporters for the extra edge. But they don't have this anymore. PAN doesn't bring anything to the table for PKR, DAP and Bersatu. Setakat telor dua butir aje. Bersatu... I'd say it's as strong as PAN. Which isn't a comforting compliment.Going to save this list of shadow ministers. Will be useful for a few laughs in the future.","{xnakdedak} Media Prima and NST are also queing up for BR1M shortly. NST's circulation has hit 22,000 copies a day. Minus about half given away free to gomen agencies, ministries and universities etc the actual paying circulation is 11,000 copies a day!  Innalillah. This is the BR1M line brader.  This is the real world brader. Catching up wit your play-play world of khayal.","{Anonymous} As long as this cabinet can round up all the lanun's, lombu's trader and get control back of all the land and property sell off by the presents lanun to other countries, I am okay with this....",{Rabbit} I believe this is the best oppo can can come up with. They can have the first 5 years resting on their laurels eating on the fruit of BN's labour while claiming they can't do anything on 1MDB/GST/BR1M/etc. But they can blame BN if anything goes wrong. After that? This comical cabinet can screw the country and pack their bags.,{Rosmah Badak} What a awesome future cabinet members compared to what we have now... The current cabinet just like  monkeys and baboons including one mama rhinoceros,,,,,,,,,,
"NST, be fair to the MACC, please",20170108,2 comments,"{xnakdedak} ""Still my favourite paper, the NST""?Even you have more readers than they do!(Barely : )The MACC seems to skirting around the biggest case of hippo-masterminded crime in history.Balls?Nah.","{Anonymous} These minions are only concern with their own interests. PM ,Nation and party can come last. With no intentions to assist without personal interest , they are actually more of a liability than asset. PM should realise this and remove these leeches.",,,,,,,,,,,,,,,,
"As new Felda chairman, Shahrir Samad's biggest enemy is time",20170106,5 comments,{abdul hakim Bujang} Happy New Year bro. PRU14 lurking...,"{Anonymous} Rocky said: ""The benefit of hindsight tells us that this man has principles and he's got integrity"". My neighborhood Ah Long has better ""principles and integrity""...rockIs this the same person when exposed by Sarawak Report to have taken RM$1 millionfrom the lanun? and shamelessly replied that ""kalau tak mintak dengan Najib nak mintak dengan siapa?""....to think of it the job is actually best given to anotherperson with better ""principles and integrity"" like Ahmad Maslan...he got RM$2 millionfrom the lanun...the lanun gave him more cos' he has better ""principles and integrity""!!Rocksteady","{Anonymous} Abang RB ,yes time is shahrir biggest enermy but he can do as follows ;1. set up a csr team2. put up a strong management teamfor csr , its easy , there is many professional csr players  in town and it is common sense to turn aroung things in felda but for management team , get few professional people , young and qualified . there are few bright sparks in town. borrow few qualified accountants from petronas and khazanah. they are good both in management and finance . this will help alot for both felda and fgv. sharir just provide leadership and these  young professionals will deliver the goods.petronas has many many trained  accountants to spare...........","{Anonymous} Hi Rocky.My take is that Isa is counting his days in FGV. He wouldn't want to be reporting to Shahrir now, would he? Like you said eloquently: different breed.It's just a matter of time.Kind regards,Paan M.","{tsyhll} ""I wish the PM had appointed a non-politician to the post"" The PM need loyalty, intelligence is optional. When the time comes, he can squeeze the balls of this new guy and make him sing. ",,,,,,,,,,,,,
"I won't do it again, I'm sorry: blogger Zaharin to MRCB",20170106,1 comment,{Anonymous} Hang mau habaq perkara yang sama pada anak Pak Jasin.,,,,,,,,,,,,,,,,,
Felda Chairman: Why Nazir Razak should consider,20170103,8 comments,"{Anonymous} Happy new year sir , may i suggest Y Bhg Tan Sri Hassan Marican as well.Better for him to assist the nation rather doing it elsewhere.","{Anonymous} Dear RB , good if Nazir got it bcos he will be more dedicated bcos his father's lagacy is at stake , however , does he has the technical expertise , but okay laa , he has helmed a major bank . Go for it.","{Kazar Rizan} Nazir can talk cock. CIMB seemed to be working over time to railroad the deal like he did on 1mdb.Is cimb excluded from the deal again?Nevertheless, EHT acquisition is pricey. But will nazir do any better for felda? Trimerger of sime darby-guthrie-golden hope was a disaster. Only person benefited was nazir. Cimb conjured a fat fee out of the blue and he gets millions in bonus!!!!","{Anonymous} Bro, U write mosts esp Malays are jahil still.No need to kondem Mahathir n Proton.We all know Proton pays more tha 25B in taxes to gomen. And gomen pumps back a little less than 5B to assist it. Stil plus 20B for gomen. Hardly a failure for Grand Old Dad.Write somethings to save the grand old party.Push the party members to make the hard decision in order for the people to still vote it in GE14.","{Anonymous} ""One is Ismee Ismail, the Tabung Haji CEO for the fund's arguably most productive decade.""HAHAHA are you shitting me!!?? THHE? Pelikan? And god knows what other crap investments...""Productive"" my left nut!!!","{Anonymous} Only the dumber will suggest Nazir razak as Felda Chairman.....he is already a crook, having listed Felda and the 3 plantation companies under Sime Darby...did all the deals work well? For sure, he made his fees.....a damm good fee...and then, he had USD7.0 million money from his brother in his account...","{Kazar Rizan} 9.48Boy are you naive and easy meat. Proton was a Mahathir-Ren Kin Mei scam to make money by claiming mitsubishi to be a national car.The real national car was only rolled out in 2000 as proton waja.In the meanwhile, nephew Tan Sri Rahmat Haron are billionaire by selling spareparts at exorbitantly more expensive price than the same sold to perodua.The tax paid could be paid by other car manufacturer albeit generally cheaper and better cars for Msians.",{Anonymous} You mean the lanun brother?...getting rid of the lanunis already difficult...no more from that genes please.That is why people said you took dedak...suggestionssuch as this confirmed their suspicions.Not onlyMahathir need to bertaubat...you too Rocky.,,,,,,,,,,
"Will Isa ever ""die"" so Felda and FGV may live?",20161230,4 comments,"{RD.} Dear Dato Rocky.""Even Tun Dr Mahathir Mohamad did not do too well as Chairman of Proton.""Dr.M could have done well, if he had licked Pak lah's and Najib's behind.However, I agreed with you on Isa Samad. He should have been treated as garbage after being found guilty of money-politics during PAU 2009. Pak lah's SIL too, for that matter.",{Anonymous} Proton banyak perang saraf dari orang Cina. Camne nak berjaya Dan berjaya.Isa Samad ada jasa pada PM.Dia orang kata tolong masa kes kelawat kat Pd dulu. Allah Lenihan tahu.,"{Ticher sharip} Bro i've feel bla bla bla is wrong on so many levels. Just i feel would have been enough. There is no such thing as ""i have feel""",{Anonymous} PM sudah Xterminate Isa.Bravo PM Kerana berani.This is what raakyat wan to C action fr PM. Shows that Isa got nothing to blackmail PM.,,,,,,,,,,,,,,
One fight Dr M is not going to win,20161228,4 comments,{Grand Marquis} Actually it is an insult just to answer to the question. It is like trying to argue if Britney Spears is still a virgin.,"{what a kayu} Giving BRIM to help the poor is GOOD.BUTWith your ""top editorial"" brains, I would expect you to ask deeper questions like- the manner BRIM is given out?The old and poor including some sickly have to fork out money they barely have to travel some distance, wait for hours to receive the handouts from ""selected"" leaders.- Why was it done this way?- To whom are these poor psychologically ""programmed"" to be thankful/grateful for the aids received?- Is the aids truly given sincerely in in good faith or with intended side benefit?You simply accepted what was said by others without any analytical thinking at all.Again, as usual, what can we expect from someone NEP-ed glorified successful professional like you?","{xnakdedak} ""....the national anti-graft commission's No 2 man has provided the reasons (I counted FIVE) why BR1M is not a form of corruption.""Just like getting 2.6 billion in your personal account, eh: )Ask RockyBru to explain the SWIFT codes.""It's not bullshit, it was from Saudi Arabia""The youngsters at The Mole will learn all they need to know about top-level investigative journalism from the grey pony-tailed master.Errrrr...","{Anonymous} Brim is stoopid plan.Almost 70% of household got it.This means that we have so many under poverty line.The gomen shud target specific group which is very needy and give the handout more.The balance in billions imagine can build more schools, unis, hospitals, klinik kesihatan and improve our roads.",,,,,,,,,,,,,,
Boxing Day,20161226,1 comment,{Anonymous} Mahathir dah nyanyok.Biarkan la dia.Tapi bayar br1m through division of umno tu maha pelik jugak bunyi nya.Apa komen Datuk ? Cuba tanya KJ yang maha terpelajar ni sekali lagi,,,,,,,,,,,,,,,,,
